Dataset, Step Size, Model, Precision, Recall, F1, Execution Time (sec)
Dataset: linear_gradual, Step Size: 5, Model: Incremental Learning Vector Quantization, Precision: 0.9, Recall: 0.879, F1: 0.889, Execution Time: 0.3598 sec
Dataset: linear_gradual, Step Size: 5, Model: Gaussian Naive Bayes, Precision: 0.929, Recall: 0.949, F1: 0.939, Execution Time: 0.0836 sec
Dataset: linear_gradual, Step Size: 5, Model: Hoeffding Tree, Precision: 0.887, Recall: 0.93, F1: 0.908, Execution Time: 0.0863 sec
Dataset: linear_gradual, Step Size: 5, Model: Adaptive Random Forest, Precision: 0.91, Recall: 0.904, F1: 0.907, Execution Time: 0.8447 sec
Dataset: linear_recurrent, Step Size: 5, Model: Incremental Learning Vector Quantization, Precision: 0.89, Recall: 0.904, F1: 0.897, Execution Time: 0.3454 sec
Dataset: linear_recurrent, Step Size: 5, Model: Gaussian Naive Bayes, Precision: 0.946, Recall: 0.963, F1: 0.954, Execution Time: 0.0836 sec
Dataset: linear_recurrent, Step Size: 5, Model: Hoeffding Tree, Precision: 0.946, Recall: 0.961, F1: 0.953, Execution Time: 0.0857 sec
Dataset: linear_recurrent, Step Size: 5, Model: Adaptive Random Forest, Precision: 0.894, Recall: 0.898, F1: 0.896, Execution Time: 0.8162 sec
Dataset: linear_sudden, Step Size: 5, Model: Incremental Learning Vector Quantization, Precision: 0.83, Recall: 0.907, F1: 0.867, Execution Time: 0.5162 sec
Dataset: linear_sudden, Step Size: 5, Model: Gaussian Naive Bayes, Precision: 0.942, Recall: 0.958, F1: 0.95, Execution Time: 0.0850 sec
Dataset: linear_sudden, Step Size: 5, Model: Hoeffding Tree, Precision: 0.942, Recall: 0.957, F1: 0.949, Execution Time: 0.0865 sec
Dataset: linear_sudden, Step Size: 5, Model: Adaptive Random Forest, Precision: 0.913, Recall: 0.929, F1: 0.921, Execution Time: 0.8431 sec

================================================================================

Dataset: linear_gradual, Step Size: 10, Model: Incremental Learning Vector Quantization, Precision: 0.917, Recall: 0.899, F1: 0.908, Execution Time: 0.3113 sec
Dataset: linear_gradual, Step Size: 10, Model: Gaussian Naive Bayes, Precision: 0.947, Recall: 0.946, F1: 0.946, Execution Time: 0.0851 sec
Dataset: linear_gradual, Step Size: 10, Model: Hoeffding Tree, Precision: 0.918, Recall: 0.94, F1: 0.929, Execution Time: 0.0852 sec
Dataset: linear_gradual, Step Size: 10, Model: Adaptive Random Forest, Precision: 0.936, Recall: 0.911, F1: 0.923, Execution Time: 0.8261 sec
Dataset: linear_recurrent, Step Size: 10, Model: Incremental Learning Vector Quantization, Precision: 0.913, Recall: 0.804, F1: 0.855, Execution Time: 0.6287 sec
Dataset: linear_recurrent, Step Size: 10, Model: Gaussian Naive Bayes, Precision: 0.943, Recall: 0.919, F1: 0.931, Execution Time: 0.0840 sec
Dataset: linear_recurrent, Step Size: 10, Model: Hoeffding Tree, Precision: 0.943, Recall: 0.919, F1: 0.931, Execution Time: 0.0856 sec
Dataset: linear_recurrent, Step Size: 10, Model: Adaptive Random Forest, Precision: 0.873, Recall: 0.893, F1: 0.883, Execution Time: 0.8537 sec
Dataset: linear_sudden, Step Size: 10, Model: Incremental Learning Vector Quantization, Precision: 0.895, Recall: 0.847, F1: 0.87, Execution Time: 0.5649 sec
Dataset: linear_sudden, Step Size: 10, Model: Gaussian Naive Bayes, Precision: 0.968, Recall: 0.944, F1: 0.956, Execution Time: 0.0832 sec
Dataset: linear_sudden, Step Size: 10, Model: Hoeffding Tree, Precision: 0.97, Recall: 0.93, F1: 0.95, Execution Time: 0.0846 sec
